text,category
implement api,DEVELOPMENT
progress implement api,DEVELOPMENT
sedang implement api untuk klien,DEVELOPMENT
lanjut implement api secepatnya,DEVELOPMENT
lanjut implement api hari ini,DEVELOPMENT
lanjut implement api secepatnya,DEVELOPMENT
buat backend,DEVELOPMENT
buat backend pending,DEVELOPMENT
tolong buat backend untuk klien,DEVELOPMENT
sedang buat backend,DEVELOPMENT
selesai buat backend pending,DEVELOPMENT
tolong buat backend,DEVELOPMENT
setup database,DEVELOPMENT
progress setup database pending,DEVELOPMENT
progress setup database secepatnya,DEVELOPMENT
progress setup database secepatnya,DEVELOPMENT
sedang setup database di production,DEVELOPMENT
tolong setup database hari ini,DEVELOPMENT
refactor code,DEVELOPMENT
selesai refactor code hari ini,DEVELOPMENT
refactor code,DEVELOPMENT
sedang refactor code secepatnya,DEVELOPMENT
refactor code secepatnya,DEVELOPMENT
lanjut refactor code hari ini,DEVELOPMENT
integrasi payment gateway,DEVELOPMENT
selesai integrasi payment gateway,DEVELOPMENT
integrasi payment gateway secepatnya,DEVELOPMENT
sedang integrasi payment gateway di production,DEVELOPMENT
sedang integrasi payment gateway di production,DEVELOPMENT
sedang integrasi payment gateway pending,DEVELOPMENT
create microservice,DEVELOPMENT
lanjut create microservice di production,DEVELOPMENT
lanjut create microservice pending,DEVELOPMENT
tolong create microservice pending,DEVELOPMENT
lanjut create microservice untuk klien,DEVELOPMENT
tolong create microservice untuk klien,DEVELOPMENT
coding fitur login,DEVELOPMENT
lanjut coding fitur login di production,DEVELOPMENT
tolong coding fitur login,DEVELOPMENT
progress coding fitur login hari ini,DEVELOPMENT
selesai coding fitur login untuk klien,DEVELOPMENT
selesai coding fitur login untuk klien,DEVELOPMENT
update schema sql,DEVELOPMENT
tolong update schema sql hari ini,DEVELOPMENT
progress update schema sql hari ini,DEVELOPMENT
update schema sql pending,DEVELOPMENT
progress update schema sql,DEVELOPMENT
sedang update schema sql di production,DEVELOPMENT
optimize query,DEVELOPMENT
sedang optimize query untuk klien,DEVELOPMENT
optimize query pending,DEVELOPMENT
sedang optimize query untuk klien,DEVELOPMENT
selesai optimize query hari ini,DEVELOPMENT
optimize query,DEVELOPMENT
develop frontend dashboard,DEVELOPMENT
tolong develop frontend dashboard secepatnya,DEVELOPMENT
sedang develop frontend dashboard di production,DEVELOPMENT
progress develop frontend dashboard secepatnya,DEVELOPMENT
sedang develop frontend dashboard pending,DEVELOPMENT
lanjut develop frontend dashboard di production,DEVELOPMENT
fix bug,BUGFIX
tolong fix bug secepatnya,BUGFIX
fix bug,BUGFIX
sedang fix bug untuk klien,BUGFIX
lanjut fix bug di production,BUGFIX
tolong fix bug di production,BUGFIX
perbaiki error,BUGFIX
selesai perbaiki error di production,BUGFIX
progress perbaiki error hari ini,BUGFIX
tolong perbaiki error,BUGFIX
perbaiki error secepatnya,BUGFIX
perbaiki error secepatnya,BUGFIX
debug issue,BUGFIX
selesai debug issue untuk klien,BUGFIX
tolong debug issue untuk klien,BUGFIX
progress debug issue hari ini,BUGFIX
progress debug issue secepatnya,BUGFIX
progress debug issue hari ini,BUGFIX
resolve crash,BUGFIX
sedang resolve crash untuk klien,BUGFIX
tolong resolve crash,BUGFIX
resolve crash hari ini,BUGFIX
progress resolve crash untuk klien,BUGFIX
sedang resolve crash hari ini,BUGFIX
hotfix production,BUGFIX
progress hotfix production di production,BUGFIX
tolong hotfix production untuk klien,BUGFIX
